lemma,pos,syllables,length,is_proper,frequency_proxy,source
internet,noun,3,8,0,0.95,seed
google,proper_noun,2,6,1,0.93,seed
chatgpt,proper_noun,2,7,1,0.88,seed
data,noun,2,4,0,0.94,seed
science,noun,2,7,0,0.89,seed
analysis,noun,4,8,0,0.86,seed
simulation,noun,4,10,0,0.84,seed
algorithm,noun,4,9,0,0.82,seed
network,noun,2,7,0,0.90,seed
variant,noun,3,7,0,0.71,seed
language,noun,2,8,0,0.87,seed
spelling,noun,2,8,0,0.78,seed
behavior,noun,3,8,0,0.83,seed
platform,noun,2,8,0,0.81,seed
report,noun,2,6,0,0.92,seed
dashboard,noun,2,9,0,0.76,seed
admin,noun,2,5,0,0.70,seed
project,noun,2,7,0,0.91,seed
model,noun,2,5,0,0.89,seed
trend,noun,1,5,0,0.77,seed
bootstrap,noun,2,9,0,0.60,seed
causal,adj,2,6,0,0.55,seed
diffusion,noun,3,9,0,0.58,seed
cluster,noun,2,7,0,0.69,seed
frequency,noun,3,9,0,0.88,seed
correct,adj,2,7,0,0.90,seed
error,noun,2,5,0,0.87,seed
memory,noun,3,6,0,0.79,seed
future,noun,2,6,0,0.85,seed
vision,noun,2,6,0,0.74,seed
stream,noun,1,6,0,0.73,seed
metric,noun,2,6,0,0.71,seed
impact,noun,2,6,0,0.83,seed
health,noun,1,6,0,0.82,seed
system,noun,2,6,0,0.95,seed
pipeline,noun,2,8,0,0.80,seed
quality,noun,2,7,0,0.84,seed
research,noun,2,8,0,0.88,seed
method,noun,2,6,0,0.90,seed
result,noun,2,6,0,0.93,seed
